MTU-value,tripTime,recieveChance
500,1.08052e+06,1
500,1.08183e+06,1
500,1.0811e+06,1
500,1.08112e+06,1
500,1.08351e+06,1
750,1.08389e+06,1
750,1.08407e+06,1
750,1.08475e+06,1
750,1.08482e+06,1
750,1.08541e+06,1
1000,1.08498e+06,1
1000,1.08556e+06,1
1000,1.08711e+06,1
1000,1.08717e+06,1
1000,1.08644e+06,1
1250,1.09213e+06,1
1250,1.09121e+06,1
1250,1.08918e+06,1
1250,1.08902e+06,1
1250,1.09172e+06,1
1500,1.09589e+06,1
1500,1.09396e+06,1
1500,1.09141e+06,1
1500,1.09065e+06,1
1500,1.0899e+06,1
250,1.0948e+06,1
250,1.09497e+06,1
250,1.0956e+06,0.998
250,1.09755e+06,1
250,1.13556e+06,1
250,1.09302e+06,1
100,1.09366e+06,1
100,1.09409e+06,1
100,1.09439e+06,1
100,1.10209e+06,1
100,1.104e+06,1
100,1.11032e+06,1
500,1.09969e+06,1
750,1.09997e+06,1
1000,1.10108e+06,1
1250,1.10114e+06,1
1500,1.10134e+06,1
